id,label,00_raw,01_strip_entity_tag,02_unescape_html,03_remove_urls,04_remove_mentions,05_unwrap_hashtags,06_lowercase,07_expand_contractions,08_squash_elongation,09_strip_symbols,10_normalise_space,11_tokenized,12_numeric_dropped,13_stopwords_removed,14_lemmatized,15_short_dropped,cleaned_text
28,Neutral,Well... it was kind of puzzling.,Well... it was kind of puzzling.,Well... it was kind of puzzling.,Well... it was kind of puzzling.,Well... it was kind of puzzling.,Well... it was kind of puzzling.,well... it was kind of puzzling.,well... it was kind of puzzling.,well.. it was kind of puzzling.,well   it was kind of puzzling ,well it was kind of puzzling,well it was kind of puzzling,well it was kind of puzzling,well kind puzzling,well kind puzzling,well kind puzzling,well kind puzzling
29,Positive,"oh fuck I just realized... if a League of Legends Champion gets into smash, there's a relatively high chance it's Yasuo. FUCK","oh fuck I just realized... if a League of Legends Champion gets into smash, there's a relatively high chance it's Yasuo. FUCK","oh fuck I just realized... if a League of Legends Champion gets into smash, there's a relatively high chance it's Yasuo. FUCK","oh fuck I just realized... if a League of Legends Champion gets into smash, there's a relatively high chance it's Yasuo. FUCK","oh fuck I just realized... if a League of Legends Champion gets into smash, there's a relatively high chance it's Yasuo. FUCK","oh fuck I just realized... if a League of Legends Champion gets into smash, there's a relatively high chance it's Yasuo. FUCK","oh fuck i just realized... if a league of legends champion gets into smash, there's a relatively high chance it's yasuo. fuck","oh fuck i just realized... if a league of legends champion gets into smash, there is a relatively high chance it is yasuo. fuck","oh fuck i just realized.. if a league of legends champion gets into smash, there is a relatively high chance it is yasuo. fuck",oh fuck i just realized   if a league of legends champion gets into smash  there is a relatively high chance it is yasuo  fuck,oh fuck i just realized if a league of legends champion gets into smash there is a relatively high chance it is yasuo fuck,oh fuck i just realized if a league of legends champion gets into smash there is a relatively high chance it is yasuo fuck,oh fuck i just realized if a league of legends champion gets into smash there is a relatively high chance it is yasuo fuck,oh fuck realized league legends champion gets smash relatively high chance yasuo fuck,oh fuck realize league legends champion get smash relatively high chance yasuo fuck,oh fuck realize league legends champion get smash relatively high chance yasuo fuck,oh fuck realize league legends champion get smash relatively high chance yasuo fuck
30,Neutral,Something went wrong.,Something went wrong.,Something went wrong.,Something went wrong.,Something went wrong.,Something went wrong.,something went wrong.,something went wrong.,something went wrong.,something went wrong ,something went wrong,something went wrong,something went wrong,something went wrong,something go wrong,something go wrong,something go wrong
31,Irrelevant,I'm live on Twitch - watch me on twitch.tv / osg _ shotz,I'm live on Twitch - watch me on twitch.tv / osg _ shotz,I'm live on Twitch - watch me on twitch.tv / osg _ shotz,I'm live on Twitch - watch me on   _ shotz,I'm live on Twitch - watch me on   _ shotz,I'm live on Twitch - watch me on   _ shotz,i'm live on twitch - watch me on   _ shotz,i am live on twitch - watch me on   _ shotz,i am live on twitch - watch me on  _ shotz,i am live on twitch   watch me on    shotz,i am live on twitch watch me on shotz,i am live on twitch watch me on shotz,i am live on twitch watch me on shotz,live twitch watch shotz,live twitch watch shotz,live twitch watch shotz,live twitch watch shotz
32,Irrelevant,The Best Decent Bot •. sniper prize for La @NioxSnipingYT •...,The Best Decent Bot •. sniper prize for La @NioxSnipingYT •...,The Best Decent Bot •. sniper prize for La @NioxSnipingYT •...,The Best Decent Bot •. sniper prize for La @NioxSnipingYT •...,The Best Decent Bot •. sniper prize for La   •...,The Best Decent Bot •. sniper prize for La   •...,the best decent bot •. sniper prize for la   •...,the best decent bot •. sniper prize for la   •...,the best decent bot •. sniper prize for la  •..,the best decent bot    sniper prize for la     ,the best decent bot sniper prize for la,the best decent bot sniper prize for la,the best decent bot sniper prize for la,best decent bot sniper prize la,best decent bot sniper prize la,best decent bot sniper prize la,best decent bot sniper prize la
33,Neutral#Positive,I miss the hot dog stands at Home Depot,I miss the hot dog stands at Home Depot,I miss the hot dog stands at Home Depot,I miss the hot dog stands at Home Depot,I miss the hot dog stands at Home Depot,I miss the hot dog stands at Home Depot,i miss the hot dog stands at home depot,i miss the hot dog stands at home depot,i miss the hot dog stands at home depot,i miss the hot dog stands at home depot,i miss the hot dog stands at home depot,i miss the hot dog stands at home depot,i miss the hot dog stands at home depot,miss hot dog stands home depot,miss hot dog stand home depot,miss hot dog stand home depot,miss hot dog stand home depot
34,Positive,"Beautiful song. Powerful lyrics that more people should hear..  ""Furious Love"" by VERIDIA on Amazon Music. music.amazon.com/albums/B00IPBY…","Beautiful song. Powerful lyrics that more people should hear..  ""Furious Love"" by VERIDIA on Amazon Music. music.amazon.com/albums/B00IPBY…","Beautiful song. Powerful lyrics that more people should hear..  ""Furious Love"" by VERIDIA on Amazon Music. music.amazon.com/albums/B00IPBY…","Beautiful song. Powerful lyrics that more people should hear..  ""Furious Love"" by VERIDIA on Amazon Music.  ","Beautiful song. Powerful lyrics that more people should hear..  ""Furious Love"" by VERIDIA on Amazon Music.  ","Beautiful song. Powerful lyrics that more people should hear..  ""Furious Love"" by VERIDIA on Amazon Music.  ","beautiful song. powerful lyrics that more people should hear..  ""furious love"" by veridia on amazon music.  ","beautiful song. powerful lyrics that more people should hear..  ""furious love"" by veridia on amazon music.  ","beautiful song. powerful lyrics that more people should hear..  ""furious love"" by veridia on amazon music.  ",beautiful song  powerful lyrics that more people should hear     furious love  by veridia on amazon music   ,beautiful song powerful lyrics that more people should hear furious love by veridia on amazon music,beautiful song powerful lyrics that more people should hear furious love by veridia on amazon music,beautiful song powerful lyrics that more people should hear furious love by veridia on amazon music,beautiful song powerful lyrics people hear furious love veridia amazon music,beautiful song powerful lyric people hear furious love veridia amazon music,beautiful song powerful lyric people hear furious love veridia amazon music,beautiful song powerful lyric people hear furious love veridia amazon music
35,Positive,Great way to bring exposure to young up and new coming artists,Great way to bring exposure to young up and new coming artists,Great way to bring exposure to young up and new coming artists,Great way to bring exposure to young up and new coming artists,Great way to bring exposure to young up and new coming artists,Great way to bring exposure to young up and new coming artists,great way to bring exposure to young up and new coming artists,great way to bring exposure to young up and new coming artists,great way to bring exposure to young up and new coming artists,great way to bring exposure to young up and new coming artists,great way to bring exposure to young up and new coming artists,great way to bring exposure to young up and new coming artists,great way to bring exposure to young up and new coming artists,great way bring exposure young up new coming artists,great way bring exposure young up new come artist,great way bring exposure young up new come artist,great way bring exposure young up new come artist
36,Irrelevant#Positive,with I mean this is just insane . . . RhandlerR RhandlerR RhandlerR pic.twitter.com/30llzT6egr,with I mean this is just insane . . . RhandlerR RhandlerR RhandlerR pic.twitter.com/30llzT6egr,with I mean this is just insane . . . RhandlerR RhandlerR RhandlerR pic.twitter.com/30llzT6egr,with I mean this is just insane . . . RhandlerR RhandlerR RhandlerR  ,with I mean this is just insane . . . RhandlerR RhandlerR RhandlerR  ,with I mean this is just insane . . . RhandlerR RhandlerR RhandlerR  ,with i mean this is just insane . . . rhandlerr rhandlerr rhandlerr  ,with i mean this is just insane . . . rhandlerr rhandlerr rhandlerr  ,with i mean this is just insane . . . rhandlerr rhandlerr rhandlerr  ,with i mean this is just insane       rhandlerr rhandlerr rhandlerr  ,with i mean this is just insane rhandlerr rhandlerr rhandlerr,with i mean this is just insane rhandlerr rhandlerr rhandlerr,with i mean this is just insane rhandlerr rhandlerr rhandlerr,mean insane rhandlerr rhandlerr rhandlerr,mean insane rhandlerr rhandlerr rhandlerr,mean insane rhandlerr rhandlerr rhandlerr,mean insane rhandlerr rhandlerr rhandlerr
37,Positive,Congratulations to @Team__Spirit!... You are the.. Good coaching job. Yes Thank you again for playing!...,Congratulations to @Team__Spirit!... You are the.. Good coaching job. Yes Thank you again for playing!...,Congratulations to @Team__Spirit!... You are the.. Good coaching job. Yes Thank you again for playing!...,Congratulations to @Team__Spirit!... You are the.. Good coaching job. Yes Thank you again for playing!...,Congratulations to  !... You are the.. Good coaching job. Yes Thank you again for playing!...,Congratulations to  !... You are the.. Good coaching job. Yes Thank you again for playing!...,congratulations to  !... you are the.. good coaching job. yes thank you again for playing!...,congratulations to  !... you are the.. good coaching job. yes thank you again for playing!...,congratulations to  !.. you are the.. good coaching job. yes thank you again for playing!..,congratulations to      you are the   good coaching job  yes thank you again for playing   ,congratulations to you are the good coaching job yes thank you again for playing,congratulations to you are the good coaching job yes thank you again for playing,congratulations to you are the good coaching job yes thank you again for playing,congratulations good coaching job yes thank playing,congratulation good coach job yes thank play,congratulation good coach job yes thank play,congratulation good coach job yes thank play
38,Neutral,Why government banned pubg,Why government banned pubg,Why government banned pubg,Why government banned pubg,Why government banned pubg,Why government banned pubg,why government banned pubg,why government banned pubg,why government banned pubg,why government banned pubg,why government banned pubg,why government banned pubg,why government banned pubg,government banned pubg,government ban pubg,government ban pubg,government ban pubg
39,Neutral,Hey @ verizonfios @ verizonSupport Why does my internet speed drop to 591 Mbit / s when I pay for 1Gig SIM card services?.. Testing is done via a wired connection with CAT8 SFTP 40GB cables.. speedtest.net / result / c / 1999d...,Hey @ verizonfios @ verizonSupport Why does my internet speed drop to 591 Mbit / s when I pay for 1Gig SIM card services?.. Testing is done via a wired connection with CAT8 SFTP 40GB cables.. speedtest.net / result / c / 1999d...,Hey @ verizonfios @ verizonSupport Why does my internet speed drop to 591 Mbit / s when I pay for 1Gig SIM card services?.. Testing is done via a wired connection with CAT8 SFTP 40GB cables.. speedtest.net / result / c / 1999d...,Hey @ verizonfios @ verizonSupport Why does my internet speed drop to 591 Mbit / s when I pay for 1Gig SIM card services?.. Testing is done via a wired connection with CAT8 SFTP 40GB cables..   / c / 1999d...,Hey     Why does my internet speed drop to 591 Mbit / s when I pay for 1Gig SIM card services?.. Testing is done via a wired connection with CAT8 SFTP 40GB cables..   / c / 1999d...,Hey     Why does my internet speed drop to 591 Mbit / s when I pay for 1Gig SIM card services?.. Testing is done via a wired connection with CAT8 SFTP 40GB cables..   / c / 1999d...,hey     why does my internet speed drop to 591 mbit / s when i pay for 1gig sim card services?.. testing is done via a wired connection with cat8 sftp 40gb cables..   / c / 1999d...,hey     why does my internet speed drop to 591 mbit / s when i pay for 1gig sim card services?.. testing is done via a wired connection with cat8 sftp 40gb cables..   / c / 1999d...,hey  why does my internet speed drop to 591 mbit / s when i pay for 1gig sim card services?.. testing is done via a wired connection with cat8 sftp 40gb cables..  / c / 199d..,hey  why does my internet speed drop to 591 mbit   s when i pay for 1gig sim card services    testing is done via a wired connection with cat8 sftp 40gb cables      c   199d  ,hey why does my internet speed drop to 591 mbit s when i pay for 1gig sim card services testing is done via a wired connection with cat8 sftp 40gb cables c 199d,hey why does my internet speed drop to 591 mbit s when i pay for 1gig sim card services testing is done via a wired connection with cat 8 sftp 40gb cables c 199d,hey why does my internet speed drop to mbit s when i pay for 1gig sim card services testing is done via a wired connection with cat sftp 40gb cables c 199d,hey internet speed drop mbit pay 1gig sim card services testing done wired connection cat sftp 40gb cables c 199d,hey internet speed drop mbit pay 1gig sim card service testing do wired connection cat sftp 40gb cable c 199d,hey internet speed drop mbit pay 1gig sim card service testing do wired connection cat sftp 40gb cable 199d,hey internet speed drop mbit pay 1gig sim card service testing do wired connection cat sftp 40gb cable 199d
40,Negative,"bloody hell sounds so dumb, I’ve won 10 matches in a row with over 50 MVPS’s and reached 1,500 kills each game carrying my team. Like do I needed to build a new online CSGO account????","bloody hell sounds so dumb, I’ve won 10 matches in a row with over 50 MVPS’s and reached 1,500 kills each game carrying my team. Like do I needed to build a new online CSGO account????","bloody hell sounds so dumb, I’ve won 10 matches in a row with over 50 MVPS’s and reached 1,500 kills each game carrying my team. Like do I needed to build a new online CSGO account????","bloody hell sounds so dumb, I’ve won 10 matches in a row with over 50 MVPS’s and reached 1,500 kills each game carrying my team. Like do I needed to build a new online CSGO account????","bloody hell sounds so dumb, I’ve won 10 matches in a row with over 50 MVPS’s and reached 1,500 kills each game carrying my team. Like do I needed to build a new online CSGO account????","bloody hell sounds so dumb, I’ve won 10 matches in a row with over 50 MVPS’s and reached 1,500 kills each game carrying my team. Like do I needed to build a new online CSGO account????","bloody hell sounds so dumb, i’ve won 10 matches in a row with over 50 mvps’s and reached 1,500 kills each game carrying my team. like do i needed to build a new online csgo account????","bloody hell sounds so dumb, i have won 10 matches in a row with over 50 mvps’s and reached 1,500 kills each game carrying my team. like do i needed to build a new online csgo account????","bloody hell sounds so dumb, i have won 10 matches in a row with over 50 mvps’s and reached 1,500 kills each game carrying my team. like do i needed to build a new online csgo account??",bloody hell sounds so dumb  i have won 10 matches in a row with over 50 mvps s and reached 1 500 kills each game carrying my team  like do i needed to build a new online csgo account  ,bloody hell sounds so dumb i have won 10 matches in a row with over 50 mvps s and reached 1 500 kills each game carrying my team like do i needed to build a new online csgo account,bloody hell sounds so dumb i have won 10 matches in a row with over 50 mvps s and reached 1 500 kills each game carrying my team like do i needed to build a new online csgo account,bloody hell sounds so dumb i have won matches in a row with over mvps s and reached kills each game carrying my team like do i needed to build a new online csgo account,bloody hell sounds dumb won matches row over mvps reached kills game carrying team like needed build new online csgo account,bloody hell sound dumb win match row over mvps reach kill game carry team like need build new online csgo account,bloody hell sound dumb win match row over mvps reach kill game carry team like need build new online csgo account,bloody hell sound dumb win match row over mvps reach kill game carry team like need build new online csgo account
41,Irrelevant,We really are Ghosts... Real and we don't exist.,We really are Ghosts... Real and we don't exist.,We really are Ghosts... Real and we don't exist.,We really are Ghosts... Real and we don't exist.,We really are Ghosts... Real and we don't exist.,We really are Ghosts... Real and we don't exist.,we really are ghosts... real and we don't exist.,we really are ghosts... real and we do not exist.,we really are ghosts.. real and we do not exist.,we really are ghosts   real and we do not exist ,we really are ghosts real and we do not exist,we really are ghosts real and we do not exist,we really are ghosts real and we do not exist,really ghosts real not exist,really ghost real not exist,really ghost real not exist,really ghost real not exist
42,Negative,"Who is ready for microsoft to forcibly resurrect a nasty series with no plan or direction but to make money, and then force archaic spin to release it in 2 years?!!!???","Who is ready for microsoft to forcibly resurrect a nasty series with no plan or direction but to make money, and then force archaic spin to release it in 2 years?!!!???","Who is ready for microsoft to forcibly resurrect a nasty series with no plan or direction but to make money, and then force archaic spin to release it in 2 years?!!!???","Who is ready for microsoft to forcibly resurrect a nasty series with no plan or direction but to make money, and then force archaic spin to release it in 2 years?!!!???","Who is ready for microsoft to forcibly resurrect a nasty series with no plan or direction but to make money, and then force archaic spin to release it in 2 years?!!!???","Who is ready for microsoft to forcibly resurrect a nasty series with no plan or direction but to make money, and then force archaic spin to release it in 2 years?!!!???","who is ready for microsoft to forcibly resurrect a nasty series with no plan or direction but to make money, and then force archaic spin to release it in 2 years?!!!???","who is ready for microsoft to forcibly resurrect a nasty series with no plan or direction but to make money, and then force archaic spin to release it in 2 years?!!!???","who is ready for microsoft to forcibly resurrect a nasty series with no plan or direction but to make money, and then force archaic spin to release it in 2 years?!!??",who is ready for microsoft to forcibly resurrect a nasty series with no plan or direction but to make money  and then force archaic spin to release it in 2 years     ,who is ready for microsoft to forcibly resurrect a nasty series with no plan or direction but to make money and then force archaic spin to release it in 2 years,who is ready for microsoft to forcibly resurrect a nasty series with no plan or direction but to make money and then force archaic spin to release it in 2 years,who is ready for microsoft to forcibly resurrect a nasty series with no plan or direction but to make money and then force archaic spin to release it in years,ready microsoft forcibly resurrect nasty series no plan direction but make money force archaic spin release years,ready microsoft forcibly resurrect nasty series no plan direction but make money force archaic spin release year,ready microsoft forcibly resurrect nasty series no plan direction but make money force archaic spin release year,ready microsoft forcibly resurrect nasty series no plan direction but make money force archaic spin release year
43,Positive,csgo pls stop ranking me up games are getting harder huhu,csgo pls stop ranking me up games are getting harder huhu,csgo pls stop ranking me up games are getting harder huhu,csgo pls stop ranking me up games are getting harder huhu,csgo pls stop ranking me up games are getting harder huhu,csgo pls stop ranking me up games are getting harder huhu,csgo pls stop ranking me up games are getting harder huhu,csgo pls stop ranking me up games are getting harder huhu,csgo pls stop ranking me up games are getting harder huhu,csgo pls stop ranking me up games are getting harder huhu,csgo pls stop ranking me up games are getting harder huhu,csgo pls stop ranking me up games are getting harder huhu,csgo pls stop ranking me up games are getting harder huhu,csgo pls stop ranking up games getting harder huhu,csgo pls stop rank up game get harder huhu,csgo pls stop rank up game get harder huhu,csgo pls stop rank up game get harder huhu
44,Negative,"Google and Amazon were the biggest imitators of the brands used in phishing attacks in the June quarter, the report said.","Google and Amazon were the biggest imitators of the brands used in phishing attacks in the June quarter, the report said.","Google and Amazon were the biggest imitators of the brands used in phishing attacks in the June quarter, the report said.","Google and Amazon were the biggest imitators of the brands used in phishing attacks in the June quarter, the report said.","Google and Amazon were the biggest imitators of the brands used in phishing attacks in the June quarter, the report said.","Google and Amazon were the biggest imitators of the brands used in phishing attacks in the June quarter, the report said.","google and amazon were the biggest imitators of the brands used in phishing attacks in the june quarter, the report said.","google and amazon were the biggest imitators of the brands used in phishing attacks in the june quarter, the report said.","google and amazon were the biggest imitators of the brands used in phishing attacks in the june quarter, the report said.",google and amazon were the biggest imitators of the brands used in phishing attacks in the june quarter  the report said ,google and amazon were the biggest imitators of the brands used in phishing attacks in the june quarter the report said,google and amazon were the biggest imitators of the brands used in phishing attacks in the june quarter the report said,google and amazon were the biggest imitators of the brands used in phishing attacks in the june quarter the report said,google amazon biggest imitators brands used phishing attacks june quarter report said,google amazon big imitator brand use phishing attack june quarter report say,google amazon big imitator brand use phishing attack june quarter report say,google amazon big imitator brand use phishing attack june quarter report say
45,Positive,The current state of the PUBG community regarding Loot Re-balance on Karakin... Personally I'm pretty happy with the changes and look forward to playing the card tonight! pic.twitter.com / eFc2HR1n8Y,The current state of the PUBG community regarding Loot Re-balance on Karakin... Personally I'm pretty happy with the changes and look forward to playing the card tonight! pic.twitter.com / eFc2HR1n8Y,The current state of the PUBG community regarding Loot Re-balance on Karakin... Personally I'm pretty happy with the changes and look forward to playing the card tonight! pic.twitter.com / eFc2HR1n8Y,The current state of the PUBG community regarding Loot Re-balance on Karakin... Personally I'm pretty happy with the changes and look forward to playing the card tonight!  ,The current state of the PUBG community regarding Loot Re-balance on Karakin... Personally I'm pretty happy with the changes and look forward to playing the card tonight!  ,The current state of the PUBG community regarding Loot Re-balance on Karakin... Personally I'm pretty happy with the changes and look forward to playing the card tonight!  ,the current state of the pubg community regarding loot re-balance on karakin... personally i'm pretty happy with the changes and look forward to playing the card tonight!  ,the current state of the pubg community regarding loot re-balance on karakin... personally i am pretty happy with the changes and look forward to playing the card tonight!  ,the current state of the pubg community regarding loot re-balance on karakin.. personally i am pretty happy with the changes and look forward to playing the card tonight!  ,the current state of the pubg community regarding loot re balance on karakin   personally i am pretty happy with the changes and look forward to playing the card tonight   ,the current state of the pubg community regarding loot re balance on karakin personally i am pretty happy with the changes and look forward to playing the card tonight,the current state of the pubg community regarding loot re balance on karakin personally i am pretty happy with the changes and look forward to playing the card tonight,the current state of the pubg community regarding loot re balance on karakin personally i am pretty happy with the changes and look forward to playing the card tonight,current state pubg community regarding loot balance karakin personally pretty happy changes look forward playing card tonight,current state pubg community regard loot balance karakin personally pretty happy change look forward play card tonight,current state pubg community regard loot balance karakin personally pretty happy change look forward play card tonight,current state pubg community regard loot balance karakin personally pretty happy change look forward play card tonight
46,Negative,and Exclusive to PlayStation? Oh fuck off. pic.twitter.com/1NwFtyVXeX,and Exclusive to PlayStation? Oh fuck off. pic.twitter.com/1NwFtyVXeX,and Exclusive to PlayStation? Oh fuck off. pic.twitter.com/1NwFtyVXeX,and Exclusive to PlayStation? Oh fuck off.  ,and Exclusive to PlayStation? Oh fuck off.  ,and Exclusive to PlayStation? Oh fuck off.  ,and exclusive to playstation? oh fuck off.  ,and exclusive to playstation? oh fuck off.  ,and exclusive to playstation? oh fuck off.  ,and exclusive to playstation  oh fuck off   ,and exclusive to playstation oh fuck off,and exclusive to playstation oh fuck off,and exclusive to playstation oh fuck off,exclusive playstation oh fuck off,exclusive playstation oh fuck off,exclusive playstation oh fuck off,exclusive playstation oh fuck off
47,Negative,@ArgosHelpers I do love how you took money from providing my PayPal for PS5 but because the order didn ’ t completely go through your high end management because they ran an out worth of stock the moment I paid?.,@ArgosHelpers I do love how you took money from providing my PayPal for PS5 but because the order didn ’ t completely go through your high end management because they ran an out worth of stock the moment I paid?.,@ArgosHelpers I do love how you took money from providing my PayPal for PS5 but because the order didn ’ t completely go through your high end management because they ran an out worth of stock the moment I paid?.,@ArgosHelpers I do love how you took money from providing my PayPal for PS5 but because the order didn ’ t completely go through your high end management because they ran an out worth of stock the moment I paid?.,  I do love how you took money from providing my PayPal for PS5 but because the order didn ’ t completely go through your high end management because they ran an out worth of stock the moment I paid?.,  I do love how you took money from providing my PayPal for PS5 but because the order didn ’ t completely go through your high end management because they ran an out worth of stock the moment I paid?.,  i do love how you took money from providing my paypal for ps5 but because the order didn ’ t completely go through your high end management because they ran an out worth of stock the moment i paid?.,  i do love how you took money from providing my paypal for ps5 but because the order didn ’ t completely go through your high end management because they ran an out worth of stock the moment i paid?.,  i do love how you took money from providing my paypal for ps5 but because the order didn ’ t completely go through your high end management because they ran an out worth of stock the moment i paid?.,  i do love how you took money from providing my paypal for ps5 but because the order didn   t completely go through your high end management because they ran an out worth of stock the moment i paid  ,i do love how you took money from providing my paypal for ps5 but because the order didn t completely go through your high end management because they ran an out worth of stock the moment i paid,i do love how you took money from providing my paypal for ps5 but because the order didn t completely go through your high end management because they ran an out worth of stock the moment i paid,i do love how you took money from providing my paypal for ps5 but because the order didn t completely go through your high end management because they ran an out worth of stock the moment i paid,love took money providing paypal ps5 but order didn completely go high end management ran worth stock moment paid,love take money provide paypal ps5 but order didn completely go high end management run worth stock moment pay,love take money provide paypal ps5 but order didn completely go high end management run worth stock moment pay,love take money provide paypal ps5 but order didn completely go high end management run worth stock moment pay
48,Irrelevant#Positive,Best pistol player in 2016:GO?..,Best pistol player in 2016:GO?..,Best pistol player in 2016:GO?..,Best pistol player in 2016:GO?..,Best pistol player in 2016:GO?..,Best pistol player in 2016:GO?..,best pistol player in 2016:go?..,best pistol player in 2016:go?..,best pistol player in 2016:go?..,best pistol player in 2016 go   ,best pistol player in 2016 go,best pistol player in 2016 go,best pistol player in go,best pistol player go,best pistol player go,best pistol player go,best pistol player go
49,Positive,"Oh, yeah, although I always used to work mostly with these older guys. Second company from inside my portfolio to be acquired in the past for three months. Congrats, @SwiftStack team, on winning the acquisition!","Oh, yeah, although I always used to work mostly with these older guys. Second company from inside my portfolio to be acquired in the past for three months. Congrats, @SwiftStack team, on winning the acquisition!","Oh, yeah, although I always used to work mostly with these older guys. Second company from inside my portfolio to be acquired in the past for three months. Congrats, @SwiftStack team, on winning the acquisition!","Oh, yeah, although I always used to work mostly with these older guys. Second company from inside my portfolio to be acquired in the past for three months. Congrats, @SwiftStack team, on winning the acquisition!","Oh, yeah, although I always used to work mostly with these older guys. Second company from inside my portfolio to be acquired in the past for three months. Congrats,   team, on winning the acquisition!","Oh, yeah, although I always used to work mostly with these older guys. Second company from inside my portfolio to be acquired in the past for three months. Congrats,   team, on winning the acquisition!","oh, yeah, although i always used to work mostly with these older guys. second company from inside my portfolio to be acquired in the past for three months. congrats,   team, on winning the acquisition!","oh, yeah, although i always used to work mostly with these older guys. second company from inside my portfolio to be acquired in the past for three months. congrats,   team, on winning the acquisition!","oh, yeah, although i always used to work mostly with these older guys. second company from inside my portfolio to be acquired in the past for three months. congrats,  team, on winning the acquisition!",oh  yeah  although i always used to work mostly with these older guys  second company from inside my portfolio to be acquired in the past for three months  congrats   team  on winning the acquisition ,oh yeah although i always used to work mostly with these older guys second company from inside my portfolio to be acquired in the past for three months congrats team on winning the acquisition,oh yeah although i always used to work mostly with these older guys second company from inside my portfolio to be acquired in the past for three months congrats team on winning the acquisition,oh yeah although i always used to work mostly with these older guys second company from inside my portfolio to be acquired in the past for three months congrats team on winning the acquisition,oh yeah although always used work mostly older guys second company inside portfolio acquired past three months congrats team winning acquisition,oh yeah although always use work mostly old guy second company inside portfolio acquire past three month congrats team win acquisition,oh yeah although always use work mostly old guy second company inside portfolio acquire past three month congrats team win acquisition,oh yeah although always use work mostly old guy second company inside portfolio acquire past three month congrats team win acquisition
50,Positive,"all hyped for cold war, campaign is something i cant wait let start! Who else is hyped!?","all hyped for cold war, campaign is something i cant wait let start! Who else is hyped!?","all hyped for cold war, campaign is something i cant wait let start! Who else is hyped!?","all hyped for cold war, campaign is something i cant wait let start! Who else is hyped!?","all hyped for cold war, campaign is something i cant wait let start! Who else is hyped!?","all hyped for cold war, campaign is something i cant wait let start! Who else is hyped!?","all hyped for cold war, campaign is something i cant wait let start! who else is hyped!?","all hyped for cold war, campaign is something i cannot wait let start! who else is hyped!?","all hyped for cold war, campaign is something i cannot wait let start! who else is hyped!?",all hyped for cold war  campaign is something i cannot wait let start  who else is hyped  ,all hyped for cold war campaign is something i cannot wait let start who else is hyped,all hyped for cold war campaign is something i cannot wait let start who else is hyped,all hyped for cold war campaign is something i cannot wait let start who else is hyped,hyped cold war campaign something cannot wait let start else hyped,hyped cold war campaign something cannot wait let start else hyped,hyped cold war campaign something cannot wait let start else hyped,hyped cold war campaign something cannot wait let start else hyped
51,Neutral,"Not exactly. Free means the price is your data. During the early days of Avast and AVG, I used to say it was better than nothing. Now, I think nothing - and Microsoft Defender - is better than this bad firewall.","Not exactly. Free means the price is your data. During the early days of Avast and AVG, I used to say it was better than nothing. Now, I think nothing - and Microsoft Defender - is better than this bad firewall.","Not exactly. Free means the price is your data. During the early days of Avast and AVG, I used to say it was better than nothing. Now, I think nothing - and Microsoft Defender - is better than this bad firewall.","Not exactly. Free means the price is your data. During the early days of Avast and AVG, I used to say it was better than nothing. Now, I think nothing - and Microsoft Defender - is better than this bad firewall.","Not exactly. Free means the price is your data. During the early days of Avast and AVG, I used to say it was better than nothing. Now, I think nothing - and Microsoft Defender - is better than this bad firewall.","Not exactly. Free means the price is your data. During the early days of Avast and AVG, I used to say it was better than nothing. Now, I think nothing - and Microsoft Defender - is better than this bad firewall.","not exactly. free means the price is your data. during the early days of avast and avg, i used to say it was better than nothing. now, i think nothing - and microsoft defender - is better than this bad firewall.","not exactly. free means the price is your data. during the early days of avast and average, i used to say it was better than nothing. now, i think nothing - and microsoft defender - is better than this bad firewall.","not exactly. free means the price is your data. during the early days of avast and average, i used to say it was better than nothing. now, i think nothing - and microsoft defender - is better than this bad firewall.",not exactly  free means the price is your data  during the early days of avast and average  i used to say it was better than nothing  now  i think nothing   and microsoft defender   is better than this bad firewall ,not exactly free means the price is your data during the early days of avast and average i used to say it was better than nothing now i think nothing and microsoft defender is better than this bad firewall,not exactly free means the price is your data during the early days of avast and average i used to say it was better than nothing now i think nothing and microsoft defender is better than this bad firewall,not exactly free means the price is your data during the early days of avast and average i used to say it was better than nothing now i think nothing and microsoft defender is better than this bad firewall,not exactly free means price data early days avast average used say better nothing think nothing microsoft defender better bad firewall,not exactly free mean price data early day avast average use say well nothing think nothing microsoft defender well bad firewall,not exactly free mean price data early day avast average use say well nothing think nothing microsoft defender well bad firewall,not exactly free mean price data early day avast average use say well nothing think nothing microsoft defender well bad firewall
